participant_id,technique,granularity,open_windows,trial_time,accuracy
P1,autocompaste,phrase,2,32524,1
P1,autocompaste,phrase,2,7329,1
P1,autocompaste,phrase,2,8997,1
P1,autocompaste,phrase,4,9472,1
P1,autocompaste,phrase,4,7639,1
P1,autocompaste,phrase,4,9224,1
P1,autocompaste,phrase,6,12160,1
P1,autocompaste,phrase,6,9680,1
P1,autocompaste,phrase,6,10264,1
P1,autocompaste,sentence,2,6920,1
P1,autocompaste,sentence,2,7375,1
P1,autocompaste,sentence,2,5360,1
P1,autocompaste,sentence,4,5136,1
P1,autocompaste,sentence,4,3552,1
P1,autocompaste,sentence,4,5424,1
P1,autocompaste,sentence,6,4727,1
P1,autocompaste,sentence,6,5937,1
P1,autocompaste,sentence,6,7683,1
P1,autocompaste,paragraph,2,8542,0
P1,autocompaste,paragraph,2,6366,0
P1,autocompaste,paragraph,2,9824,0
P1,autocompaste,paragraph,4,12600,0
P1,autocompaste,paragraph,4,13392,1
P1,autocompaste,paragraph,4,216,0
P1,autocompaste,paragraph,6,20584,1
P1,autocompaste,paragraph,6,17202,1
P1,autocompaste,paragraph,6,13173,1
P1,shortcuts,phrase,2,13519,1
P1,shortcuts,phrase,2,16223,1
P1,shortcuts,phrase,2,12977,1
P1,shortcuts,phrase,4,10942,1
P1,shortcuts,phrase,4,25047,1
P1,shortcuts,phrase,4,7305,1
P1,shortcuts,phrase,6,8248,1
P1,shortcuts,phrase,6,11399,1
P1,shortcuts,phrase,6,12488,1
P1,shortcuts,sentence,2,7285,1
P1,shortcuts,sentence,2,10370,1
P1,shortcuts,sentence,2,7960,1
P1,shortcuts,sentence,4,5488,1
P1,shortcuts,sentence,4,8672,1
P1,shortcuts,sentence,4,9704,1
P1,shortcuts,sentence,6,6969,1
P1,shortcuts,sentence,6,8103,1
P1,shortcuts,sentence,6,13663,1
P1,shortcuts,paragraph,2,5712,1
P1,shortcuts,paragraph,2,4088,1
P1,shortcuts,paragraph,2,5159,1
P1,shortcuts,paragraph,4,7071,1
P1,shortcuts,paragraph,4,6129,1
P1,shortcuts,paragraph,4,6504,1
P1,shortcuts,paragraph,6,7656,1
P1,shortcuts,paragraph,6,12992,1
P1,shortcuts,paragraph,6,11007,1
P2,autocompaste,sentence,2,15568,1
P2,autocompaste,sentence,2,3991,1
P2,autocompaste,sentence,2,3075,1
P2,autocompaste,sentence,4,3247,1
P2,autocompaste,sentence,4,3062,1
P2,autocompaste,sentence,4,2644,1
P2,autocompaste,sentence,6,3486,1
P2,autocompaste,sentence,6,3595,1
P2,autocompaste,sentence,6,3133,1
P2,autocompaste,paragraph,2,7027,1
P2,autocompaste,paragraph,2,10450,1
P2,autocompaste,paragraph,2,5777,1
P2,autocompaste,paragraph,4,7952,1
P2,autocompaste,paragraph,4,8073,1
P2,autocompaste,paragraph,4,7963,1
P2,autocompaste,paragraph,6,6911,1
P2,autocompaste,paragraph,6,10981,1
P2,autocompaste,paragraph,6,9161,1
P2,autocompaste,phrase,2,16620,1
P2,autocompaste,phrase,2,1942,0
P2,autocompaste,phrase,2,17817,1
P2,autocompaste,phrase,4,12678,1
P2,autocompaste,phrase,4,9122,1
P2,autocompaste,phrase,4,5377,1
P2,autocompaste,phrase,6,25646,1
P2,autocompaste,phrase,6,15525,1
P2,autocompaste,phrase,6,5685,1
P2,shortcuts,sentence,2,4087,1
P2,shortcuts,sentence,2,7204,1
P2,shortcuts,sentence,2,5977,1
P2,shortcuts,sentence,4,8950,1
P2,shortcuts,sentence,4,4883,1
P2,shortcuts,sentence,4,6410,1
P2,shortcuts,sentence,6,5019,1
P2,shortcuts,sentence,6,9105,1
P2,shortcuts,sentence,6,5031,1
P2,shortcuts,paragraph,2,2918,1
P2,shortcuts,paragraph,2,3207,1
P2,shortcuts,paragraph,2,3653,1
P2,shortcuts,paragraph,4,6130,1
P2,shortcuts,paragraph,4,8999,1
P2,shortcuts,paragraph,4,3654,1
P2,shortcuts,paragraph,6,3755,1
P2,shortcuts,paragraph,6,15653,1
P2,shortcuts,paragraph,6,7952,1
P2,shortcuts,phrase,2,11816,1
P2,shortcuts,phrase,2,5372,1
P2,shortcuts,phrase,2,9876,1
P2,shortcuts,phrase,4,5112,1
P2,shortcuts,phrase,4,9841,1
P2,shortcuts,phrase,4,6704,1
P2,shortcuts,phrase,6,17541,1
P2,shortcuts,phrase,6,6348,1
P2,shortcuts,phrase,6,2936,1
P3,autocompaste,paragraph,2,9527,0
P3,autocompaste,paragraph,2,12074,0
P3,autocompaste,paragraph,2,8566,0
P3,autocompaste,paragraph,4,8899,0
P3,autocompaste,paragraph,4,8660,0
P3,autocompaste,paragraph,4,7226,0
P3,autocompaste,paragraph,6,5719,0
P3,autocompaste,paragraph,6,11651,0
P3,autocompaste,paragraph,6,5723,0
P3,autocompaste,phrase,2,22904,1
P3,autocompaste,phrase,2,7663,1
P3,autocompaste,phrase,2,5277,1
P3,autocompaste,phrase,4,12297,1
P3,autocompaste,phrase,4,5945,1
P3,autocompaste,phrase,4,4591,1
P3,autocompaste,phrase,6,12747,0
P3,autocompaste,phrase,6,9121,1
P3,autocompaste,phrase,6,8073,0
P3,autocompaste,sentence,2,8658,1
P3,autocompaste,sentence,2,4803,1
P3,autocompaste,sentence,2,5116,1
P3,autocompaste,sentence,4,5623,1
P3,autocompaste,sentence,4,5140,1
P3,autocompaste,sentence,4,4689,1
P3,autocompaste,sentence,6,4889,1
P3,autocompaste,sentence,6,4238,1
P3,autocompaste,sentence,6,3437,1
P3,shortcuts,paragraph,2,11239,1
P3,shortcuts,paragraph,2,11105,1
P3,shortcuts,paragraph,2,11233,1
P3,shortcuts,paragraph,4,11157,1
P3,shortcuts,paragraph,4,16069,1
P3,shortcuts,paragraph,4,10513,1
P3,shortcuts,paragraph,6,15245,1
P3,shortcuts,paragraph,6,9393,1
P3,shortcuts,paragraph,6,16795,1
P3,shortcuts,phrase,2,19036,1
P3,shortcuts,phrase,2,15143,1
P3,shortcuts,phrase,2,18406,1
P3,shortcuts,phrase,4,22367,1
P3,shortcuts,phrase,4,10122,1
P3,shortcuts,phrase,4,12769,1
P3,shortcuts,phrase,6,14072,1
P3,shortcuts,phrase,6,16348,1
P3,shortcuts,phrase,6,14140,1
P3,shortcuts,sentence,2,15367,1
P3,shortcuts,sentence,2,13946,1
P3,shortcuts,sentence,2,14416,1
P3,shortcuts,sentence,4,14106,1
P3,shortcuts,sentence,4,13031,1
P3,shortcuts,sentence,4,13687,1
P3,shortcuts,sentence,6,11979,1
P3,shortcuts,sentence,6,25179,1
P3,shortcuts,sentence,6,12761,1
P4,shortcuts,phrase,2,16842,1
P4,shortcuts,phrase,2,9143,1
P4,shortcuts,phrase,2,13536,1
P4,shortcuts,phrase,4,14480,1
P4,shortcuts,phrase,4,34887,1
P4,shortcuts,phrase,4,14560,1
P4,shortcuts,phrase,6,26031,1
P4,shortcuts,phrase,6,19040,1
P4,shortcuts,phrase,6,42655,1
P4,shortcuts,sentence,2,16120,1
P4,shortcuts,sentence,2,16200,1
P4,shortcuts,sentence,2,10968,1
P4,shortcuts,sentence,4,9265,1
P4,shortcuts,sentence,4,6711,1
P4,shortcuts,sentence,4,17175,1
P4,shortcuts,sentence,6,9632,1
P4,shortcuts,sentence,6,13103,1
P4,shortcuts,sentence,6,22776,1
P4,shortcuts,paragraph,2,5360,1
P4,shortcuts,paragraph,2,5448,1
P4,shortcuts,paragraph,2,6920,1
P4,shortcuts,paragraph,4,8521,1
P4,shortcuts,paragraph,4,7175,1
P4,shortcuts,paragraph,4,18791,1
P4,shortcuts,paragraph,6,7183,1
P4,shortcuts,paragraph,6,23856,1
P4,shortcuts,paragraph,6,26128,1
P4,autocompaste,phrase,2,15386,1
P4,autocompaste,phrase,2,9455,1
P4,autocompaste,phrase,2,7592,1
P4,autocompaste,phrase,4,10032,1
P4,autocompaste,phrase,4,5247,1
P4,autocompaste,phrase,4,7000,1
P4,autocompaste,phrase,6,10640,1
P4,autocompaste,phrase,6,9712,1
P4,autocompaste,phrase,6,42349,1
P4,autocompaste,sentence,2,8736,1
P4,autocompaste,sentence,2,9320,1
P4,autocompaste,sentence,2,5976,1
P4,autocompaste,sentence,4,7383,1
P4,autocompaste,sentence,4,4393,1
P4,autocompaste,sentence,4,5976,1
P4,autocompaste,sentence,6,4568,1
P4,autocompaste,sentence,6,5119,1
P4,autocompaste,sentence,6,5327,1
P4,autocompaste,paragraph,2,11503,1
P4,autocompaste,paragraph,2,11377,1
P4,autocompaste,paragraph,2,21496,1
P4,autocompaste,paragraph,4,11936,1
P4,autocompaste,paragraph,4,10271,1
P4,autocompaste,paragraph,4,12519,1
P4,autocompaste,paragraph,6,10585,1
P4,autocompaste,paragraph,6,26480,1
P4,autocompaste,paragraph,6,23353,1
P5,shortcuts,sentence,2,3863,1
P5,shortcuts,sentence,2,6073,1
P5,shortcuts,sentence,2,8167,1
P5,shortcuts,sentence,4,4720,1
P5,shortcuts,sentence,4,6376,1
P5,shortcuts,sentence,4,8160,1
P5,shortcuts,sentence,6,9064,1
P5,shortcuts,sentence,6,14296,1
P5,shortcuts,sentence,6,6912,1
P5,shortcuts,paragraph,2,5303,1
P5,shortcuts,paragraph,2,4920,1
P5,shortcuts,paragraph,2,7440,1
P5,shortcuts,paragraph,4,5888,1
P5,shortcuts,paragraph,4,8560,1
P5,shortcuts,paragraph,4,18039,1
P5,shortcuts,paragraph,6,5640,1
P5,shortcuts,paragraph,6,19263,1
P5,shortcuts,paragraph,6,16536,1
P5,shortcuts,phrase,2,35287,1
P5,shortcuts,phrase,2,12679,1
P5,shortcuts,phrase,2,5576,1
P5,shortcuts,phrase,4,8192,1
P5,shortcuts,phrase,4,10224,1
P5,shortcuts,phrase,4,19623,1
P5,shortcuts,phrase,6,17456,1
P5,shortcuts,phrase,6,17880,1
P5,shortcuts,phrase,6,7424,1
P5,autocompaste,sentence,2,5320,1
P5,autocompaste,sentence,2,5719,1
P5,autocompaste,sentence,2,4776,1
P5,autocompaste,sentence,4,3471,1
P5,autocompaste,sentence,4,3017,1
P5,autocompaste,sentence,4,3768,1
P5,autocompaste,sentence,6,2839,1
P5,autocompaste,sentence,6,4592,1
P5,autocompaste,sentence,6,5544,1
P5,autocompaste,paragraph,2,11623,1
P5,autocompaste,paragraph,2,6144,0
P5,autocompaste,paragraph,2,11736,1
P5,autocompaste,paragraph,4,12128,1
P5,autocompaste,paragraph,4,9248,1
P5,autocompaste,paragraph,4,11023,1
P5,autocompaste,paragraph,6,20888,1
P5,autocompaste,paragraph,6,21455,1
