participant_id,technique,granularity,open_windows,trial_no,stimuli,user_response,trial_time,accuracy
P3,autocompaste,paragraph,2,1,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,what is ac/DC ?Equipment that will operate on either an AC or DC power source.,9527,0
P3,autocompaste,paragraph,2,2,What is active component ? A component that changes the amplitude of a signal between input and output.,What is active component ?A component that changes the amplitude of a signal between input and output.,12074,0
P3,autocompaste,paragraph,2,3,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,What is armstrong oscillator ?An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,8566,0
P3,autocompaste,paragraph,4,4,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,What is alternating current ?An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,8899,0
P3,autocompaste,paragraph,4,5,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,What is apparent power ?Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,8660,0
P3,autocompaste,paragraph,4,6,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,What is average value ?A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,7226,0
P3,autocompaste,paragraph,6,7,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,What is alligator clip ?Spring clip on the end of a test lead used to make a temporary connection.,5719,0
P3,autocompaste,paragraph,6,8,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,What is bipolar junction transistor ?(BJT) A three terminal device in which emitter to collector current is controlled by base current.,11651,0
P3,autocompaste,paragraph,6,9,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine side techniques in computer graphics operating systems programming languages and development environments are relevant.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,5723,0
P3,autocompaste,phrase,2,10,transform mechanical energy,transform mechanical energy,22904,1
P3,autocompaste,phrase,2,11,all possible combinations,all possible combinations,7663,1
P3,autocompaste,phrase,2,12,size of a signal voltage,size of a signal voltage,5277,1
P3,autocompaste,phrase,4,13,amplifier in addition,amplifier in addition,12297,1
P3,autocompaste,phrase,4,14,meter used to measure,meter used to measure,5945,1
P3,autocompaste,phrase,4,15,positive electrode or terminal,positive electrode or terminal,4591,1
P3,autocompaste,phrase,6,16,transformer where the output,transformerwhere the output,12747,0
P3,autocompaste,phrase,6,17,terminal device in which emitter,terminal device in which emitter,9121,1
P3,autocompaste,phrase,6,18,natural difference of potential that exists,natural difference of potential,8073,0
P3,autocompaste,sentence,2,19,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,8658,1
P3,autocompaste,sentence,2,20,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,4803,1
